SCHEDULED_DEPARTURE,carrier,DEPARTURE_TIME,dest,distance,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,delaytimeweatherbad,delaytimeweathergood,YEAR,MONTH,DAY,DATE
5,OH,2354,JFK,184,5935,BWI,0,4,1,N940CA,ontime,-11,205,194,169,430,408,-22,164.7,13.09,2015,1,1,1/1/1991
10,DH,2,JFK,213,6155,DCA,0,4,1,N405FJ,ontime,-8,280,279,263,750,741,-9,164.63,14.61,2015,1,1,2/1/1991
20,DH,18,LGA,229,7208,IAD,0,4,1,N695BR,ontime,-2,286,293,266,806,811,5,164.68,14.71,2015,1,1,3/1/1991
20,DH,15,LGA,229,7215,IAD,0,4,1,N662BR,ontime,-5,285,281,258,805,756,-9,164.905,14.64,2015,1,1,4/1/1991
25,DH,24,LGA,229,7792,IAD,0,4,1,N698BR,ontime,-1,235,215,199,320,259,-21,164.76,14.63,2015,1,1,5/1/1991
25,DH,20,JFK,228,7800,IAD,0,4,1,N687BR,ontime,-5,217,230,206,602,610,8,164.85,14.67,2015,1,1,6/1/1991
25,DH,19,JFK,228,7806,IAD,0,4,1,N321UE,ontime,-6,181,170,154,526,509,-17,164.9225,14.68,2015,1,1,7/1/1991
30,DH,44,JFK,228,7810,IAD,0,4,1,N301UE,ontime,14,273,249,228,803,753,-10,164.82,14.6563,2015,1,1,8/1/1991
30,DH,19,JFK,228,7812,IAD,0,4,1,N328UE,ontime,-11,195,193,173,545,532,-13,164.7269,14.684,2015,1,1,9/1/1991
30,DH,33,JFK,228,7814,IAD,0,4,1,N685BR,ontime,3,221,203,186,711,656,-15,164.705,14.6942,2015,1,1,10/1/1991
30,DH,24,LGA,229,7924,IAD,0,4,1,N645BR,ontime,-6,173,149,133,523,453,-30,164.79,14.63,2015,1,1,11/1/1991
35,DL,27,JFK,213,746,DCA,0,4,1,N918DE,ontime,-8,268,266,238,803,753,-10,164.81,14.645,2015,1,1,12/1/1991
35,DL,35,LGA,214,1746,DCA,0,4,1,N242DL,ontime,0,214,210,188,609,605,-4,164.69,14.6,2015,1,1,1/1/1992
40,DL,34,LGA,214,1752,DCA,0,4,1,N241DL,ontime,-6,215,199,176,615,553,-22,164.61,14.59,2015,1,1,2/1/1992
40,DL,39,LGA,214,1756,DCA,0,4,1,N242DL,ontime,-1,189,198,166,549,557,8,164.69,14.615,2015,1,2,3/1/1992
45,DL,41,LGA,214,1762,DCA,0,4,1,N241DL,ontime,-4,204,194,173,509,455,-14,164.91,14.609,2015,1,2,4/1/1992
45,DL,31,LGA,214,1768,DCA,0,4,1,N242DL,ontime,-14,210,200,171,515,451,-24,164.84,14.625,2015,1,2,5/1/1992
48,MQ,42,JFK,213,4752,DCA,0,4,1,N709MQ,ontime,-6,218,217,199,626,619,-7,164.875,14.605,2015,1,2,6/1/1992
50,MQ,46,JFK,213,4760,DCA,0,4,1,N717MQ,ontime,-4,215,201,187,525,507,-18,164.8,14.605,2015,1,2,7/1/1992
50,MQ,45,JFK,213,4784,DCA,0,4,1,N707MQ,ontime,-5,193,186,171,603,551,-12,164.825,14.5935,2015,1,2,8/1/1992
55,MQ,120,LGA,214,4956,DCA,0,4,1,N737MQ,ontime,25,162,143,128,537,543,6,164.82,14.64,2015,1,2,9/1/1992
100,MQ,52,LGA,214,4964,DCA,0,4,1,N717MQ,ontime,-8,338,347,311,938,939,1,164.74,14.605,2015,1,2,10/1/1992
103,MQ,102,LGA,214,4966,DCA,0,4,1,N726MQ,ontime,-1,147,147,128,530,529,-1,164.6881,14.5893,2015,1,2,11/1/1992
105,MQ,103,LGA,214,4968,DCA,0,4,1,N724MQ,ontime,-2,286,276,255,851,839,-12,164.53,14.5593,2015,1,2,12/1/1992
