schedtime,carrier,deptime,dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
5,OH,2354,JFK,184,1/1/2004,5935,BWI,0,4,1,N940CA,ontime,-11,205,194,430,408,-22
10,DH,2,JFK,213,1/1/2004,6155,DCA,0,4,1,N405FJ,ontime,-8,280,279,750,741,-9
20,DH,18,LGA,229,1/1/2004,7208,IAD,0,4,1,N695BR,ontime,-2,286,293,806,811,5
20,DH,15,LGA,229,1/1/2004,7215,IAD,0,4,1,N662BR,ontime,-5,285,281,805,756,-9
25,DH,24,LGA,229,1/1/2004,7792,IAD,0,4,1,N698BR,ontime,-1,235,215,320,259,-21
25,DH,20,JFK,228,1/1/2004,7800,IAD,0,4,1,N687BR,ontime,-5,217,230,602,610,8
25,DH,19,JFK,228,1/1/2004,7806,IAD,0,4,1,N321UE,ontime,-6,181,170,526,509,-17
30,DH,44,JFK,228,1/1/2004,7810,IAD,0,4,1,N301UE,ontime,14,273,249,803,753,-10
30,DH,19,JFK,228,1/1/2004,7812,IAD,0,4,1,N328UE,ontime,-11,195,193,545,532,-13
30,DH,33,JFK,228,1/1/2004,7814,IAD,0,4,1,N685BR,ontime,3,221,203,711,656,-15
30,DH,24,LGA,229,1/1/2004,7924,IAD,0,4,1,N645BR,ontime,-6,173,149,523,453,-30
35,DL,27,JFK,213,1/1/2004,746,DCA,0,4,1,N918DE,ontime,-8,268,266,803,753,-10
35,DL,35,LGA,214,1/1/2004,1746,DCA,0,4,1,N242DL,ontime,0,214,210,609,605,-4
40,DL,34,LGA,214,1/1/2004,1752,DCA,0,4,1,N241DL,ontime,-6,215,199,615,553,-22
40,DL,39,LGA,214,1/1/2004,1756,DCA,0,4,1,N242DL,ontime,-1,189,198,549,557,8
45,DL,41,LGA,214,1/1/2004,1762,DCA,0,4,1,N241DL,ontime,-4,204,194,509,455,-14
45,DL,31,LGA,214,1/1/2004,1768,DCA,0,4,1,N242DL,ontime,-14,210,200,515,451,-24
48,MQ,42,JFK,213,1/1/2004,4752,DCA,0,4,1,N709MQ,ontime,-6,218,217,626,619,-7
50,MQ,46,JFK,213,1/1/2004,4760,DCA,0,4,1,N717MQ,ontime,-4,215,201,525,507,-18
50,MQ,45,JFK,213,1/1/2004,4784,DCA,0,4,1,N707MQ,ontime,-5,193,186,603,551,-12
55,MQ,120,LGA,214,1/1/2004,4956,DCA,0,4,1,N737MQ,ontime,25,162,143,537,543,6
100,MQ,52,LGA,214,1/1/2004,4964,DCA,0,4,1,N717MQ,ontime,-8,338,347,938,939,1
103,MQ,102,LGA,214,1/1/2004,4966,DCA,0,4,1,N726MQ,ontime,-1,147,147,530,529,-1
105,MQ,103,LGA,214,1/1/2004,4968,DCA,0,4,1,N724MQ,ontime,-2,286,276,851,839,-12
105,MQ,102,LGA,214,1/1/2004,4976,DCA,0,4,1,N724MQ,ontime,-3,183,163,608,545,-23
115,UA,112,LGA,229,1/1/2004,846,IAD,0,4,1,N513UA,ontime,-3,183,175,618,607,-11
115,US,107,LGA,214,1/1/2004,2164,DCA,0,4,1,N709UW,ontime,-8,213,218,548,545,-3
115,US,127,LGA,214,1/1/2004,2168,DCA,0,4,1,N748UW,ontime,12,207,220,542,607,25
120,US,110,LGA,214,1/1/2004,2172,DCA,0,4,1,N709UW,ontime,-10,245,224,825,754,-31
120,US,141,LGA,214,1/1/2004,2176,DCA,0,4,1,N748UW,ontime,21,227,208,707,709,2
125,US,237,LGA,214,1/1/2004,2180,DCA,0,4,1,N709UW,ontime,72,204,175,549,632,43
127,US,116,LGA,214,1/1/2004,2188,DCA,0,4,1,N709UW,ontime,-11,239,234,726,710,-16
135,RU,1452,EWR,169,1/1/2004,2403,BWI,0,4,1,N14916,ontime,1317,205,205,600,,
140,RU,1710,EWR,169,1/1/2004,2675,BWI,0,4,1,N16954,ontime,-6,215,215,715,725,10
144,RU,1030,EWR,169,1/1/2004,2303,BWI,0,4,1,N26549,ontime,-4,170,170,634,630,-4
145,RU,656,EWR,169,1/1/2004,2703,BWI,0,4,1,N16954,ontime,0,370,370,555,610,15
152,CO,1256,EWR,199,1/1/2004,808,DCA,0,4,1,N18611,ontime,-9,323,323,915,905,-10
154,CO,1726,EWR,199,1/1/2004,814,DCA,0,4,1,N19357,ontime,3,255,255,509,458,-11
155,DH,840,EWR,213,1/1/2004,7299,IAD,0,4,1,N691BR,ontime,-15,218,218,633,558,-35
155,DH,1704,EWR,213,1/1/2004,7302,IAD,0,4,1,N691BR,ontime,-2,235,235,450,501,11
155,DH,1245,EWR,213,1/1/2004,7303,IAD,0,4,1,N697BR,ontime,-16,208,208,523,450,-33
159,DH,2118,EWR,213,1/1/2004,7304,IAD,0,4,1,N699BR,ontime,-1,123,123,502,503,1
200,RU,1651,EWR,213,1/1/2004,2497,IAD,0,4,1,N12540,ontime,1451,120,120,500,,
200,RU,1850,EWR,213,1/1/2004,2385,IAD,0,4,1,N16149,ontime,-10,210,210,630,619,-11
200,RU,1521,EWR,199,1/1/2004,2261,DCA,0,4,1,N12564,ontime,-5,184,184,504,453,-11
206,RU,1855,EWR,199,1/1/2004,2336,DCA,0,4,1,N21537,ontime,-14,246,246,512,516,4
220,RU,1357,EWR,199,1/1/2004,2216,DCA,0,4,1,N15983,ontime,-11,224,224,804,728,-36
