SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,delay
5,2354,430,408,ontime
10,2,750,741,ontime
20,18,806,811,ontime
20,15,805,756,ontime
25,24,320,259,ontime
25,20,602,610,ontime
25,19,526,509,ontime
30,44,803,753,ontime
30,19,545,532,ontime
30,33,711,656,ontime
30,24,523,453,ontime
35,27,803,753,ontime
35,35,609,605,ontime
40,34,615,553,ontime
40,39,549,557,ontime
45,41,509,455,ontime
45,31,515,451,ontime
48,42,626,619,ontime
50,46,525,507,ontime
50,45,603,551,ontime
55,120,537,543,ontime
100,52,938,939,ontime
103,102,530,529,ontime
105,103,851,839,ontime
105,102,608,545,ontime
115,112,618,607,ontime
115,107,548,545,ontime
115,127,542,607,ontime
120,110,825,754,ontime
120,141,707,709,ontime
125,237,549,632,ontime
127,116,726,710,ontime
135,1452,600,700,ontime
140,1710,715,725,ontime
144,1030,634,630,ontime
145,656,555,610,ontime
152,1256,915,905,ontime
154,1726,509,458,ontime
155,840,633,558,ontime
155,1704,450,501,ontime
155,1245,523,450,ontime
159,2118,502,503,ontime
200,1651,500,460,ontime
200,1850,630,619,ontime
200,1521,504,453,ontime
206,1855,512,516,ontime
220,1357,804,728,ontime
220,1508,640,628,ontime
255,1255,500,451,ontime
259,1625,559,605,ontime
307,1455,500,520,ontime
330,1641,635,619,ontime
400,1249,605,730,ontime
419,1531,613,606,delayed
424,1712,630,629,ontime
438,645,739,908,ontime
500,1236,748,751,delayed
500,859,610,610,ontime
500,1232,549,543,ontime
500,1455,629,638,ontime
502,1645,544,549,ontime
505,1716,930,916,ontime
505,2305,541,530,delayed
510,1605,805,816,ontime
510,2118,613,602,ontime
510,1458,730,720,ontime
510,930,618,618,ontime
510,1230,619,615,ontime
510,1427,637,500,ontime
515,1730,900,858,ontime
515,2028,856,1038,ontime
515,1522,843,845,ontime
515,552,813,826,ontime
520,1847,850,950,ontime
520,852,841,935,ontime
520,1053,803,757,ontime
520,1258,634,629,ontime
520,1402,726,711,ontime
520,1456,612,615,ontime
520,850,620,629,ontime
523,657,600,548,ontime
525,857,730,735,ontime
525,1058,700,600,ontime
530,1258,820,826,ontime
530,1458,852,856,ontime
530,1655,907,906,ontime
530,1855,835,941,ontime
530,2056,525,511,ontime
530,1715,810,752,ontime
530,1030,938,913,ontime
530,656,700,890,ontime
530,1456,913,926,ontime
531,1727,857,923,ontime
533,1301,720,723,ontime
535,754,802,816,ontime
535,837,703,648,ontime
535,1350,700,635,delayed
535,1512,1020,1039,delayed
535,629,636,615,ontime
535,1625,803,745,ontime
535,655,800,757,ontime
535,858,650,650,ontime
538,657,900,1018,ontime
538,1650,710,654,ontime
540,1856,721,700,ontime
540,1253,856,823,ontime
540,854,1123,1331,ontime
540,1858,842,827,ontime
540,2050,803,742,ontime
540,1358,725,739,ontime
540,1510,757,743,delayed
540,1519,921,946,ontime
540,1243,953,937,ontime
541,1738,725,732,ontime
544,640,709,658,ontime
545,1030,759,738,ontime
545,855,904,858,ontime
545,1237,1156,1207,ontime
545,1455,814,807,ontime
545,1654,650,638,ontime
545,1741,850,959,ontime
545,2213,910,901,delayed
545,1604,702,649,ontime
545,2138,1026,1007,ontime
545,1505,849,847,delayed
545,828,741,742,ontime
545,1030,726,743,ontime
545,1230,654,646,ontime
545,1428,755,750,ontime
545,1629,715,811,ontime
545,1829,919,929,ontime
545,2024,651,750,ontime
548,1600,630,624,delayed
549,555,725,719,ontime
550,1829,1404,1329,ontime
550,855,750,754,ontime
550,1254,915,906,ontime
550,849,804,847,ontime
550,655,718,659,ontime
550,858,749,739,ontime
550,1059,748,743,ontime
550,1256,650,649,ontime
550,1500,1050,1052,ontime
550,1658,649,649,ontime
550,1857,819,812,ontime
550,1714,805,806,ontime
550,655,718,659,ontime
550,1026,645,600,ontime
550,1448,815,828,ontime
550,1255,920,940,ontime
550,857,759,740,delayed
550,1705,810,831,ontime
550,1329,913,919,delayed
553,2126,839,848,ontime
554,625,905,848,ontime
555,1722,925,923,ontime
555,1356,836,840,ontime
555,658,831,818,ontime
555,941,1150,1206,ontime
555,1738,930,920,ontime
555,1556,718,705,ontime
555,1511,720,703,ontime
555,703,645,636,ontime
555,1605,729,717,delayed
555,1644,604,610,ontime
555,1249,715,1101,ontime
555,1535,710,600,delayed
556,1837,730,708,delayed
556,640,900,927,ontime
557,1032,1109,1053,ontime
559,900,902,849,ontime
559,1243,920,1116,ontime
600,1504,719,656,ontime
600,1642,750,747,ontime
600,1709,928,1131,ontime
600,2120,736,735,ontime
600,1607,853,835,ontime
600,2116,737,731,ontime
600,1500,850,902,ontime
600,828,855,903,ontime
600,1028,819,805,ontime
