carrier,origin,dest,flightnumber,tailnu,date,dayweek,daymonth,YEAR,MONTH,DAY,weather,distance,delay,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DELAY_LABEL,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,delaytimeweathergood,delaytimeweatherbad
OH,BWI,JFK,5935,N940CA,1/1/2004,4,1,2015,1,1,0,184,ontime,5,2354,430,408,-22,,-11,205,194,169,13.09,164.7
DH,DCA,JFK,6155,N405FJ,1/1/2004,4,1,2015,1,1,0,213,ontime,10,2,750,741,-9,,-8,280,279,263,14.61,164.63
DH,IAD,LGA,7208,N695BR,1/1/2004,4,1,2015,1,1,0,229,ontime,20,18,806,811,5,,-2,286,293,266,14.71,164.68
DH,IAD,LGA,7215,N662BR,1/1/2004,4,1,2015,1,1,0,229,ontime,20,15,805,756,-9,,-5,285,281,258,14.64,164.905
DH,IAD,LGA,7792,N698BR,1/1/2004,4,1,2015,1,1,0,229,ontime,25,24,320,259,-21,,-1,235,215,199,14.63,164.76
DH,IAD,JFK,7800,N687BR,1/1/2004,4,1,2015,1,1,0,228,ontime,25,20,602,610,8,,-5,217,230,206,14.67,164.85
DH,IAD,JFK,7806,N321UE,1/1/2004,4,1,2015,1,1,0,228,ontime,25,19,526,509,-17,,-6,181,170,154,14.68,164.9225
DH,IAD,JFK,7810,N301UE,1/1/2004,4,1,2015,1,1,0,228,delayed,30,44,803,753,-10,,14,273,249,228,14.6563,164.82
DH,IAD,JFK,7812,N328UE,1/1/2004,4,1,2015,1,1,0,228,ontime,30,19,545,532,-13,,-11,195,193,173,14.684,164.7269
DH,IAD,JFK,7814,N685BR,1/1/2004,4,1,2015,1,1,0,228,delayed,30,33,711,656,-15,,3,221,203,186,14.6942,164.705
DH,IAD,LGA,7924,N645BR,1/1/2004,4,1,2015,1,1,0,229,ontime,30,24,523,453,-30,,-6,173,149,133,14.63,164.79
DL,DCA,JFK,746,N918DE,1/1/2004,4,1,2015,1,1,0,213,ontime,35,27,803,753,-10,,-8,268,266,238,14.645,164.81
DL,DCA,LGA,1746,N242DL,1/1/2004,4,1,2015,1,1,0,214,delayed,35,35,609,605,-4,,0,214,210,188,14.6,164.69
DL,DCA,LGA,1752,N241DL,1/1/2004,4,1,2015,1,1,0,214,ontime,40,34,615,553,-22,,-6,215,199,176,14.59,164.61
DL,DCA,LGA,1756,N242DL,1/1/2004,4,1,2015,1,2,0,214,ontime,40,39,549,557,8,,-1,189,198,166,14.615,164.69
