schedtime,carrier,deptime,dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,delaytimeweathergood,delaytimeweatherbad
5,OH,2354,JFK,184,1/1/2004,5935,BWI,0,4,1,N940CA,ontime,-11,205,194,430,408,-22,13.09,164.7
10,DH,2,JFK,213,1/1/2004,6155,DCA,0,4,1,N405FJ,ontime,-8,280,279,750,741,-9,14.61,164.63
20,DH,18,LGA,229,1/1/2004,7208,IAD,0,4,1,N695BR,ontime,-2,286,293,806,811,5,14.71,164.68
20,DH,15,LGA,229,1/1/2004,7215,IAD,0,4,1,N662BR,ontime,-5,285,281,805,756,-9,14.64,164.905
25,DH,24,LGA,229,1/1/2004,7792,IAD,0,4,1,N698BR,ontime,-1,235,215,320,259,-21,14.63,164.76
25,DH,20,JFK,228,1/1/2004,7800,IAD,0,4,1,N687BR,ontime,-5,217,230,602,610,8,14.67,164.85
25,DH,19,JFK,228,1/1/2004,7806,IAD,0,4,1,N321UE,ontime,-6,181,170,526,509,-17,14.68,164.9225
30,DH,44,JFK,228,1/1/2004,7810,IAD,0,4,1,N301UE,ontime,14,273,249,803,753,-10,14.6563,164.82
30,DH,19,JFK,228,1/1/2004,7812,IAD,0,4,1,N328UE,ontime,-11,195,193,545,532,-13,14.684,164.7269
30,DH,33,JFK,228,1/1/2004,7814,IAD,0,4,1,N685BR,ontime,3,221,203,711,656,-15,14.6942,164.705
30,DH,24,LGA,229,1/1/2004,7924,IAD,0,4,1,N645BR,ontime,-6,173,149,523,453,-30,14.63,164.79
35,DL,27,JFK,213,1/1/2004,746,DCA,0,4,1,N918DE,ontime,-8,268,266,803,753,-10,14.645,164.81
35,DL,35,LGA,214,1/1/2004,1746,DCA,0,4,1,N242DL,ontime,0,214,210,609,605,-4,14.6,164.69
40,DL,34,LGA,214,1/1/2004,1752,DCA,0,4,1,N241DL,ontime,-6,215,199,615,553,-22,14.59,164.61
40,DL,39,LGA,214,1/1/2004,1756,DCA,0,4,1,N242DL,ontime,-1,189,198,549,557,8,14.615,164.69
45,DL,41,LGA,214,1/1/2004,1762,DCA,0,4,1,N241DL,ontime,-4,204,194,509,455,-14,14.609,164.91
45,DL,31,LGA,214,1/1/2004,1768,DCA,0,4,1,N242DL,ontime,-14,210,200,515,451,-24,14.625,164.84
48,MQ,42,JFK,213,1/1/2004,4752,DCA,0,4,1,N709MQ,ontime,-6,218,217,626,619,-7,14.605,164.875
50,MQ,46,JFK,213,1/1/2004,4760,DCA,0,4,1,N717MQ,ontime,-4,215,201,525,507,-18,14.605,164.8
50,MQ,45,JFK,213,1/1/2004,4784,DCA,0,4,1,N707MQ,ontime,-5,193,186,603,551,-12,14.5935,164.825
55,MQ,120,LGA,214,1/1/2004,4956,DCA,0,4,1,N737MQ,ontime,25,162,143,537,543,6,14.64,164.82
100,MQ,52,LGA,214,1/1/2004,4964,DCA,0,4,1,N717MQ,ontime,-8,338,347,938,939,1,14.605,164.74
103,MQ,102,LGA,214,1/1/2004,4966,DCA,0,4,1,N726MQ,ontime,-1,147,147,530,529,-1,14.5893,164.6881
105,MQ,103,LGA,214,1/1/2004,4968,DCA,0,4,1,N724MQ,ontime,-2,286,276,851,839,-12,14.5593,164.53
105,MQ,102,LGA,214,1/1/2004,4976,DCA,0,4,1,N724MQ,ontime,-3,183,163,608,545,-23,14.53,164.38
115,UA,112,LGA,229,1/1/2004,846,IAD,0,4,1,N513UA,ontime,-3,183,175,618,607,-11,14.565,164.3675
115,US,107,LGA,214,1/1/2004,2164,DCA,0,4,1,N709UW,ontime,-8,213,218,548,545,-3,14.573,164.27
115,US,127,LGA,214,1/1/2004,2168,DCA,0,4,1,N748UW,ontime,12,207,220,542,607,25,14.5331,164.11
120,US,110,LGA,214,1/1/2004,2172,DCA,0,4,1,N709UW,ontime,-10,245,224,825,754,-31,14.505,164.13
120,US,141,LGA,214,1/1/2004,2176,DCA,0,4,1,N748UW,ontime,21,227,208,707,709,2,14.4701,164.2
125,US,237,LGA,214,1/1/2004,2180,DCA,0,4,1,N709UW,ontime,72,204,175,549,632,43,14.515,164.2565
127,US,116,LGA,214,1/1/2004,2188,DCA,0,4,1,N709UW,ontime,-11,239,234,726,710,-16,14.51,164.32
135,RU,1452,EWR,169,1/1/2004,2403,BWI,0,4,1,N14916,ontime,,205,205,600,,,14.525,164.5892
140,RU,1710,EWR,169,1/1/2004,2675,BWI,0,4,1,N16954,ontime,-6,215,215,715,725,10,14.4999,164.4422
144,RU,1030,EWR,169,1/1/2004,2303,BWI,0,4,1,N26549,ontime,-4,170,170,634,630,-4,14.5,164.28
145,RU,656,EWR,169,1/1/2004,2703,BWI,0,4,1,N16954,ontime,0,370,370,555,610,15,14.5398,164.19
152,CO,1256,EWR,199,1/1/2004,808,DCA,0,4,1,N18611,ontime,-9,323,323,915,905,-10,14.5599,164.23
154,CO,1726,EWR,199,1/1/2004,814,DCA,0,4,1,N19357,ontime,3,255,255,509,458,-11,14.55,164.25
155,DH,840,EWR,213,1/1/2004,7299,IAD,0,4,1,N691BR,ontime,-15,218,218,633,558,-35,14.49,164.03
155,DH,1704,EWR,213,1/1/2004,7302,IAD,0,4,1,N691BR,ontime,-2,235,235,450,501,11,14.49,164.08
155,DH,1245,EWR,213,1/1/2004,7303,IAD,0,4,1,N697BR,ontime,-16,208,208,523,450,-33,14.48,163.9
159,DH,2118,EWR,213,1/1/2004,7304,IAD,0,4,1,N699BR,ontime,-1,123,123,502,503,1,14.51,163.9
200,RU,1651,EWR,213,1/1/2004,2497,IAD,0,4,1,N12540,ontime,,120,120,500,,,14.471,163.79
200,RU,1850,EWR,213,1/1/2004,2385,IAD,0,4,1,N16149,ontime,-10,210,210,630,619,-11,14.48,163.6361
200,RU,1521,EWR,199,1/1/2004,2261,DCA,0,4,1,N12564,ontime,-5,184,184,504,453,-11,14.455,163.88
206,RU,1855,EWR,199,1/1/2004,2336,DCA,0,4,1,N21537,ontime,-14,246,246,512,516,4,14.5,164.1971
220,RU,1357,EWR,199,1/1/2004,2216,DCA,0,4,1,N15983,ontime,-11,224,224,804,728,-36,14.51,164.165
220,RU,1508,EWR,213,1/1/2004,2156,IAD,0,4,1,N16149,ontime,-11,200,200,640,628,-12,14.52,164.18
255,RU,1255,EWR,213,1/1/2004,2664,IAD,0,4,1,N12519,ontime,-7,185,185,500,451,-9,14.55,164.21
259,RU,1625,EWR,199,1/1/2004,2181,DCA,0,4,1,N19966,ontime,-1,240,240,559,605,6,14.56,164.28
307,OH,1455,JFK,184,1/2/2004,5935,BWI,0,5,2,N995CA,ontime,-3,173,173,500,520,20,14.57,164.2203
330,DH,1641,JFK,213,1/2/2004,6155,DCA,0,5,2,N415FJ,ontime,-14,245,245,635,619,-16,14.55,164.23
400,DH,1249,LGA,229,1/2/2004,7208,IAD,0,5,2,N688BR,ontime,95,185,185,605,730,85,14.55,164.3
419,DH,1531,LGA,229,1/2/2004,7211,IAD,0,5,2,N665BR,delayed,4,174,174,613,606,-7,14.57,164.27
424,DH,1712,LGA,229,1/2/2004,7215,IAD,0,5,2,N639BR,ontime,-11,186,186,630,629,-1,14.58,164.315
438,DH,645,LGA,229,1/2/2004,7790,IAD,0,5,2,N686BR,ontime,72,241,241,739,908,89,14.56,164.2799
500,DH,1236,LGA,229,1/2/2004,7792,IAD,0,5,2,N665BR,delayed,-1,228,228,748,751,3,14.56,164.31
500,DH,859,JFK,228,1/2/2004,7800,IAD,0,5,2,N645BR,ontime,-4,70,70,610,610,0,14.58,164.44
500,DH,1232,JFK,228,1/2/2004,7806,IAD,0,5,2,N332UE,ontime,-8,49,49,549,543,-6,14.57,164.51
500,DH,1455,JFK,228,1/2/2004,7808,IAD,0,5,2,N324UE,ontime,13,89,89,629,638,9,14.585,164.61
502,DH,1645,JFK,228,1/2/2004,7810,IAD,0,5,2,N305UE,ontime,-1,42,42,544,549,5,14.56,164.45
505,DH,1716,JFK,228,1/2/2004,7812,IAD,0,5,2,N322UE,ontime,-8,205,205,930,916,-14,14.565,164.4
505,DH,2305,JFK,228,1/2/2004,7814,IAD,0,5,2,N657BR,delayed,-11,36,36,541,530,-11,14.5832,164.46
510,DH,1605,JFK,228,1/2/2004,7816,IAD,0,5,2,N315UE,ontime,4,175,175,805,816,11,14.555,164.55
510,DH,2118,LGA,229,1/2/2004,7924,IAD,0,5,2,N709BR,ontime,-3,63,63,613,602,-11,14.51,164.2962
510,DL,1458,JFK,213,1/2/2004,746,DCA,0,5,2,N964DL,ontime,-4,140,140,730,720,-10,14.51,164.37
510,DL,930,LGA,214,1/2/2004,1746,DCA,0,5,2,N241DL,ontime,-10,68,68,618,618,0,14.54,164.43
510,DL,1230,LGA,214,1/2/2004,1752,DCA,0,5,2,N225DL,ontime,-2,69,69,619,615,-4,14.525,164.43
510,DL,1427,LGA,214,1/2/2004,1756,DCA,0,5,2,N241DL,ontime,,87,87,637,,,14.525,164.33
515,DL,1730,LGA,214,1/2/2004,1762,DCA,0,5,2,N225DL,ontime,-5,165,165,900,858,-2,14.54,164.23
515,DL,2028,LGA,214,1/2/2004,1768,DCA,0,5,2,N241DL,ontime,108,161,161,856,1038,102,14.54,164.2
515,MQ,1522,JFK,213,1/2/2004,4752,DCA,0,5,2,N720MQ,ontime,-5,208,208,843,845,2,14.555,164.29
515,MQ,552,JFK,213,1/2/2004,4760,DCA,0,5,2,N736MQ,ontime,2,178,178,813,826,13,14.525,164.15
520,MQ,1847,JFK,213,1/2/2004,4784,DCA,0,5,2,N727MQ,ontime,60,150,150,850,950,60,14.53,164.13
520,MQ,852,LGA,214,1/2/2004,4956,DCA,0,5,2,N713MQ,ontime,58,141,141,841,935,54,14.535,164.23
520,MQ,1053,LGA,214,1/2/2004,4960,DCA,0,5,2,N708MQ,ontime,-9,103,103,803,757,-6,14.535,164.21
520,MQ,1258,LGA,214,1/2/2004,4964,DCA,0,5,2,N713MQ,ontime,-3,74,74,634,629,-5,14.526,164.28
520,MQ,1402,LGA,214,1/2/2004,4966,DCA,0,5,2,N718MQ,ontime,-6,66,66,726,711,-15,14.535,164.38
520,MQ,1456,LGA,214,1/2/2004,4968,DCA,0,5,2,N708MQ,ontime,5,112,112,612,615,3,14.52,164.27
520,UA,850,LGA,229,1/2/2004,846,IAD,0,5,2,N556UA,ontime,-3,60,60,620,629,9,14.505,164.21
523,US,657,LGA,214,1/2/2004,2160,DCA,0,5,2,N710UW,ontime,-10,37,37,600,548,-12,14.4932,164.27
525,US,857,LGA,214,1/2/2004,2164,DCA,0,5,2,N736UW,ontime,0,65,65,730,735,5,14.485,164.35
525,US,1058,LGA,214,1/2/2004,2168,DCA,0,5,2,N710UW,ontime,,95,95,700,,,14.46,164.2905
530,US,1258,LGA,214,1/2/2004,2172,DCA,0,5,2,N736UW,ontime,2,230,230,820,826,6,14.46,164.24
530,US,1458,LGA,214,1/2/2004,2176,DCA,0,5,2,N710UW,ontime,4,142,142,852,856,4,14.4293,164.21
530,US,1655,LGA,214,1/2/2004,2180,DCA,0,5,2,N736UW,ontime,-1,157,157,907,906,-1,14.43,164.24
530,US,1855,LGA,214,1/2/2004,2184,DCA,0,5,2,N710UW,ontime,53,125,125,835,941,66,14.47,164.34
